brandname,pid,pname,product_price,product_volume,category
다나한,4261,효용윤 프리미엄 커버 비비크림,"37,000원",40ml,비비크림
다나한,4272,효용윤 메이크업 베이스,"32,000원","40ml, 10ml","비비크림,메이크업베이스"
다나한,605,효용운 비비크림,"35,000원",40ml,비비크림
다나한,55677,본연채 비비쿠션,"40,000원",13g,"비비크림,쿠션타입"
다나한,3859,룩 원스탑 피니쉬 미네랄 비비크림 SPF27 PA++,"19,000원",50ml,비비크림
다미다코리아(뉴여디디야코리아),23797,더마 블레미쉬 커버 밤,"80,000원",50ml,비비크림
다비,56905,블레미시 밤 프라임,"45,000원",45ml,비비크림
닥터뉴엘,83280,베니싱 안티폴루션 비비크림,"18,000원",30ml,비비크림
닥터뉴엘,18583,배니싱 비비크림,"24,000원",50ml,비비크림
닥터딥,88658,미네랄 썬비비 SPF50 PA+++,"44,000원",45ml,비비크림
닥터딥,88660,미네랄 BB크림,"32,000원",80ml,비비크림
닥터랩,73371,프로텍티브 리커버리 밤  SPF30 PA++,"83,000원",50ml,비비크림
닥터랩,38145,셀 퍼펙션 리페어 밤,"83,000원",50ml,비비크림
닥터랩,59279,프로텍티브 리커버리 밤 SPF30 PA++,"83,000원",50ml,비비크림
닥터멕,57561,올인 가디언 비비크림,"32,000원",50ml,비비크림
닥터앤코,28346,리얼 비비크림,"55,600원",60ml,비비크림
닥터에스테(닥터에스떼),102959,펩타 비비크림 SPF30 PA++,0원,50ml,비비크림
닥터엘시아(Dr.Althea),68313,토탈 솔루션 앰플 비비,"29,000원",30ml,비비크림
닥터영,73322,트리플 액션 비비,"21,000원",30ml,비비크림
닥터영,51357,이피 펄 브라이트닝 밤 SPF 35 PA++,"19,000원",30ml,"비비크림,메이크업"
닥터영,3762,이피 블레미쉬 베이스 비비크림 SPF35 PA++,"19,000원",30ml,비비크림
닥터오라클,27323,리얼화이트 비비크림,"38,000원",40ml,비비크림
닥터오라클,77143,더마시스 히아루로닉 아쿠아 비비,"35,000원",50ml,비비크림
닥터오라클,77102,안티박 더마 코렉트 비비 SPF45 PA+++,"38,000원",40ml,비비크림
닥터오라클,90509,NEW 리얼화이트 비비크림 SPF35 PA++,"38,000원",40ml,비비크림
닥터오라클,77116,EPL 프리미엄 메디 비비 톤업,"60,000원",40ml,비비크림
닥터오라클,27322,EPL 프리미엄 메디 비비크림 ,"60,000원",40g,비비크림
닥터오라클,77175,21스테이 비하이드로 비비 SPF50+ PA+++,"28,000원",40ml,비비크림
닥터오라클,77157,21스테이 에이테라 비비 ,"29,000원",40ml,비비크림
닥터오라클,77184,21스테이 샤이니 비비 ,"28,000원",40ml,비비크림
닥터자르트,1803,컨트롤 에이 뷰티 밤,"32,000원",40ml,"트러블케어,비비크림"
