Item_Id,Brand,Product,Category,Rating,Reviews,Buy_Again
70798,MAC,Gel - Frost,Lipstick,4.4,30,0.86
74721,Laura Mercier,StickGloss in Peony,Lipstick,4.3,30,0.73
176120,Yves Saint Laurent,Volupt̩ Tint-In-Oil,Lip Gloss,4.0,30,0.73
129963,MAC,Frankly Fresh (Give Me Liberty of London),Lip Gloss,4.4,30,0.8
130037,MAC,In Synch,Lip Liners,3.7,30,0.6
139236,NYX Professional Makeup,Mood Lip Gloss,Lip Gloss,4.0,30,0.73
146710,Jouer,Lip Enhancer - Conditioning Lip Treatment,Lip Treatments,3.4,30,0.43
153652,Butter London,Lippy (all shades),Lip Gloss,3.5,30,0.6
155893,Too Faced,La Creme Lipstick - Spice Spice Baby,Lipstick,4.5,30,0.86
155920,Make Up For Ever,Aqua Rouge,Lips,3.1,30,0.43
166942,Burt's Bees,Hydrating Lip Balm with Coconut and Pear,Lip Treatments,4.0,30,0.76
168256,Wet 'n' Wild,Fergie Vicious Varnish High Shine Lip Stain (all colors),Lip Gloss,2.5,30,0.4
177260,Milani,Color Statement Moisture Matte Lipstick,Lips,4.3,30,0.86
123722,Dior,Lip Polish Smoothing Lacquer 002,Lip Gloss,4.8,30,0.93
10259,MAC,Frolick lipstick,Lipstick,4.3,30,0.8
10296,Avon,Glimmersticks Lip Liner,Lip Liners,3.9,30,0.76
3082,Hard Candy,Lip Gloss Cube,Lip Gloss,3.6,30,0.6
155765,Blistex,Moisture Melt,Lip Treatments,3.8,30,0.7
13622,Hard Candy,Super Shine Lipgloss - Pixie,Lip Gloss,4.5,30,0.83
78359,Clinique,Butter Shine - Pink-a-boo,Lipstick,4.2,30,0.76
140728,Josie Maran Cosmetics,Argan Lip Treatment,Lip Treatments,2.8,30,0.36
131825,100 Percent Pure,Lip Glaze,Lipstick,4.4,30,0.86
124811,Maybelline,Color Sensational in Plum Perfect,Lipstick,4.1,30,0.73
129578,Rimmel,Moisture Renew - Coral Shimmer,Lipstick,4.3,30,0.93
21462,Cargo,Lipgloss Duo in San Fran,Lip Gloss,3.6,30,0.63
114795,MAC,Blow Dry (Blonde Brunette Redhead),Lipstick,4.2,30,0.7
91277,MAC,Scant Slimshine,Lipstick,4.5,30,0.86
112069,Revlon,Colorstay Mineral Lipglaze - 535 Eternal Blossom,Lip Gloss,3.9,30,0.66
79014,Chapstick,Peppermint,Lip Treatments,4.4,30,0.9
79546,e.l.f.,Hypershine Gloss -  Blossom,Lip Gloss,3.8,30,0.7
79559,e.l.f.,Plumping Lip Glaze - Ruby Kiss,Lip Gloss,3.8,30,0.66
80927,MAC,Charm Factor ,Lipstick,4.4,30,0.9
81861,Urban Decay,Lip Envy Stain in Greedy,Lips,3.4,30,0.53
85373,Blistex,Lip Infusion - Cherry Splash,Lip Treatments,2.5,30,0.4
88456,Bath and Body Works,Liplicious Watermelon Sorbet,Lip Gloss,4.3,30,0.8
89761,Avon,ANEW CLINICAL Plump and Smooth Lip System ,Lip Treatments,2.9,30,0.46
91250,MAC,Plushglass in Power Supply,Lip Gloss,4.0,30,0.76
81508,MAC,Plushglass in Full For You,Lip Gloss,3.9,30,0.63
93054,MAC,Tendertone Lip Balm SPF12 - Pucker,Lip Gloss,4.6,30,0.9
97469,MAC,Mattene in Flattering,Lipstick,4.8,30,0.9
103499,L'Oreal,Infallible 8HR Pro Gloss - Sangria,Lip Gloss,4.1,30,0.73
104106,Sephora ,Super Shimmer Lip Gloss in Precious Pink,Lip Gloss,3.7,30,0.46
94131,Wet 'n' Wild,Megalast lipstick 917B Cinnamon Spice,Lipstick,4.6,30,0.9
107104,MAC,Gentle Simmer Slimshine,Lipstick,4.5,30,0.86
106360,Bobbi Brown,Lip Color in Blue Raspberry,Lipstick,4.6,30,0.83
105445,Chanel,Aqualumiere Gloss Candy Glow,Lip Gloss,4.5,30,0.83
29641,Chanel,Glossimer - Starlette,Lip Gloss,4.3,29,0.82
32131,Lancome,Juicy Tubes - Tantalizing Lili,Lip Gloss,4.0,29,0.58
29942,Clinique,Moisture Sheer Lipstick in Sweet Violet,Lipstick,3.9,29,0.62
42162,MAC,Lipglass Tasti  in Tastease,Lip Gloss,3.7,29,0.58
28559,Chanel,Glossimer Extreme - All shades,Lip Gloss,3.2,29,0.51
34271,Bobbi Brown,Shimmer Lip Gloss - Spun Gold,Lip Gloss,4.5,29,0.89
41552,MAC,Tinted Lip Conditioner- Virtuous Violet,Lip Treatments,4.1,29,0.79
26538,Bath and Body Works,Wet your whistle lip balm,Lip Treatments,4.3,29,0.86
25654,Hawaiian Tropic,SPF 45 plus Aloe Vera Sunblock Lip Balm,Lip Treatments,4.2,29,0.86
25116,Urban Decay,Ink Lip Stain Naked,Lipstick,3.7,29,0.72
33512,Bonne Bell,Grape Crush Lip Smacker,Lip Gloss,4.2,29,0.86
36462,Stila,Lip Polish in Sheen,Lip Gloss,3.9,29,0.62
34871,Bonne Bell,Sponge on Lip Sparkler in Cotton Candy Clouds,Lip Gloss,4.1,29,0.82
36072,NARS,Spanish Red,Lipstick,4.5,29,0.82
37997,Bonne Bell,Lip Lites in Marshmallow Dream,Lip Gloss,4.8,29,0.93
38071,Chanel,Brilliant Scintillant Sparkling Lipgloss,Lip Gloss,3.8,29,0.55
