category,num_of_reviews,product_id
"크림,링클케어",,22236
아이케어,,22265
"에센스,링클케어",,22203
클렌징폼,,22171
"에센스,링클케어",,22217
비비크림,,22344
필오프,,15591
크림,,22248
에센스,,22221
"크림,링클케어,화이트닝케어",,22252
"크림,링클케어,화이트닝케어",,22218
"크림,화이트닝케어",,22233
핸드케어,,22281
네일영양,,98286
클렌징밀크,,22160
수딩젤/팩,,22176
아이케어,,22269
클렌징밀크,,22161
"에센스,링클케어,화이트닝케어",,22201
"에센스,마스크시트",,16768
크림,,22235
에센스,,22215
바디슬리밍,,22284
스킨,,22187
포인트리무버,,22172
"에센스,링클케어",,22228
씨씨크림,,22343
"에센스,화이트닝케어",,22230
클렌징폼,,100076
"에센스,화이트닝케어",,22226
"에센스,링클케어",,22213
"스킨,링클케어",,22180
"크림,링클케어",,22237
마스크시트,,2300
"에센스,링클케어",,22220
에센스,,22219
"에센스,화이트닝케어",,22222
"에센스,화이트닝케어",,22214
"스킨,화이트닝케어",,22183
"크림,화이트닝케어",,22238
아이케어,,22268
에센스,,22225
스킨,,22188
마스크시트,,77637
크림,,91411
"로션,링클케어,화이트닝케어",,22197
선블록,,22275
립글로스/락커,,101459
에센스,,96198
클렌징폼,,22166
마스크시트,,103357
"스킨,링클케어,화이트닝케어",,22189
스크럽/필링,,22173
컨실러,,105640
스크럽/필링,,22174
에센스,,102524
데오도란트,,22282
스킨,,101014
클렌징폼,,22150
클렌징젤,,22165
클렌징폼,,22163
클렌징폼,,34370
스킨,,22184
선스틱,,90915
선스틱,,75590
선스틱,,71886
파운데이션,,69361
"씨씨크림,쿠션타입",,40827
립스틱,,22356
파운데이션,,83858
비비크림,,22348
에센스,,60167
"파운데이션,쿠션타입",,98650
"로션,링클케어,화이트닝케어",,22196
클렌징워터,,22152
"스킨,링클케어",,22182
클렌징크림,,22164
"크림,링클케어",,22234
"크림,화이트닝케어",,22258
필오프,,15601
에센스,,97212
아이케어,,22267
"에센스,링클케어",,22212
클렌징폼,,22153
에센스,,22229
에센스,,22227
필오프,,10663
아이케어,,72609
베이비스킨케어,,80838
베이비스킨케어,,80839
헤어스타일링,,35538
헤어에센스,,49137
헤어에센스,,26578
트리트먼트/팩,,54021
헤어에센스,,36036
트리트먼트/팩,,78953
마스카라,,39771
에센스,,83828
스크럽/필링,,35241
클렌징폼,,35238
"워시오프,클렌징폼",,93833
코팩,,93832
워시오프,,93835
수면팩,,93836
워시오프,,93834
립글로스/락커,,93276
립스틱,,95254
선블록,,106567
수면팩,,93837
팩트,,91530
크림,,99972
아이섀도우,,92647
마스카라,,102835
마스카라,,102836
립스틱,,95253
아이브로우-펜슬,,92191
아이라이너-리퀴드,,92548
블러셔,,93275
아이라이너-리퀴드,,91968
립틴트,,93278
선블록,,93755
풋케어,,91485
스크럽/필링,,99623
아이섀도우,,11966
클렌징오일,,85516
마스카라,,62005
클렌징폼,,76398
워시오프,,11964
클렌징워터,,103934
마스카라,,101668
클렌징오일,,11963
마스카라,,101667
"클렌징비누,목욕비누",,11967
아이라이너-펜슬&젤,,101669
팩트,,94057
클렌징비누,,65493
"아이브로우-펜슬,아이브로우-마스카라&리퀴드",,25660
클렌징오일,,11965
클렌징비누,,52577
클렌징젤,,73807
아이라이너-리퀴드,,25661
아이라이너-리퀴드,,79325
아이라이너-펜슬&젤,,25662
아이라이너-펜슬&젤,,71815
립틴트,,23329
립틴트,,42453
립글로스/락커,,62981
아이라이너-리퀴드,,56429
립틴트,,76677
하이라이터,,99993
파운데이션,,58281
파운데이션,,33959
크림,,35967
마스크시트,,46653
마스크시트,,46645
선블록,,49845
크림,,33640
크림,,77614
립스틱,,82763
아이라이너-펜슬&젤,,89534
립밤,,105211
립밤,,105210
립틴트,,105212
립스틱,,89533
"베이비스킨케어,베이비바디",,66997
스킨,,66993
마스크시트,,36909
클렌징오일,,43602
화이트닝케어,,89999
파운데이션,,34606
"비비크림,씨씨크림",,18286
비비크림,,26512
파운데이션,,27374
"에센스,트러블케어",,11566
에센스,,35313
모공케어,,35649
로션,,11358
미스트,,3118
스킨,,14495
클렌징오일,,95214
마스크시트,,36930
크림,,20774
크림,,2589
클렌징오일,,49909
에센스,,88025
에센스,,87031
클렌징오일,,69461
아이케어,,17082
쿠션타입,,34499
페이스오일,,3019
베이스프라이머,,11299
"크림,링클케어,화이트닝케어",,23484
"에센스,트러블케어",,21333
클렌징오일,,45465
스킨,,48005
마스크시트,,105433
로션,,48013
에센스,,48201
"아이케어,크림",,88027
에센스,,88021
에센스,,88020
클렌징,,35358
마스크시트,,36912
핸드케어,,83141
핸드케어,,83121
비비크림,,48393
핸드케어,,83142
"크림,링클케어",,89094
"크림,아이케어",,34297
크림,,62073
마스크시트,,36924
마스크시트,,36906
클렌징폼,,87791
마스크시트,,36918
"하이라이터,쉐딩",,89936
"크림,수면팩",,2381
클렌징오일,,49913
톤업크림,,92989
트러블케어,,53213
마스크시트,,36927
아이라이너-펜슬&젤,,89942
수면팩,,42165
클렌징워터,,54621
파우더,,26748
에센스,,3119
아이케어,,48009
마스크시트,,75436
스킨,,88024
에센스,,66045
마스크시트,,36921
선블록,,73209
마스크시트,,36915
쉐딩,,89938
에센스,,89470
마스크시트,,36900
"크림,수면팩",,83675
수면팩,,82764
화이트닝케어,,39369
수면팩,,75437
스크럽/필링,,88879
마스크시트,,35541
비비크림,,75946
마스크시트,,36936
컨실러,,89940
마스크시트,,36903
핸드케어,,69981
로션,,20183
크림,,3120
마스크시트,,36933
선블록,,103831
크림,,98350
에센스,,34298
파운데이션,,21380
수면팩,,42162
마스크시트,,35544
립틴트,,89566
비비크림,,3020
팩트,,25412
수면팩,,11284
에센스,,2161
메이크업,,35355
클렌징오일,,95215
마스크시트,,74208
비비크림,,26517
베이스프라이머,,21381
에센스,,2382
클렌징오일,,95216
씨씨크림,,2383
로션,,1685
비비크림,,54073
비비크림,,71357
아이케어,,65941
에센스,,36105
페이스오일,,54301
에센스,,51281
샴푸,,64637
클렌징폼,,99156
립스틱,,94112
바디워시,,64649
바디오일,,90494
바디크림,,90257
바디크림,,95973
바디워시,,68261
바디로션,,95988
바디로션,,86155
바디로션,,64301
바디로션,,92808
바디미스트,,37722
핸드케어,,64053
바디크림,,88007
바디로션,,68265
바디로션,,88003
핸드케어,,47505
바디로션,,59586
바디로션,,42348
바디워시,,88006
바디로션,,95987
바디미스트,,88004
바디로션,,95646
바디로션,,77992
바디로션,,105435
바디스크럽,,92813
입욕제,,92804
바디로션,,101635
바디미스트,,64309
바디미스트,,99859
바디미스트,,97841
바디로션,,87877
바디워시,,97431
바디크림,,97434
바디미스트,,64305
바디크림,,105090
바디로션,,99145
핸드케어,,102664
바디크림,,101634
바디미스트,,97436
바디미스트,,99858
바디로션,,64325
향초,,56077
바디크림,,86156
바디크림,,92809
핸드케어,,92811
바디미스트,,87325
바디로션,,97433
바디워시,,92806
바디미스트,,97842
핸드케어,,60546
여성향수,,103191
바디미스트,,68269
바디로션,,64313
바디미스트,,92803
바디워시,,86154
바디미스트,,64333
염색제/퍼머제,,101109
"에센스,워시오프",,100479
"에센스,워시오프",,76663
워시오프,,77837
워시오프,,100481
린스/컨디셔너,,21645
헤어에센스,,34585
트리트먼트/팩,,81023
샴푸,,21644
샴푸,,20474
헤어기기,,84410
헤어기기,,84415
헤어기기,,84412
헤어기기,,94822
헤어기기,,96635
마스크시트,,61565
아이케어,,91719
에센스,,93660
클렌징폼,,91718
트러블케어,,81052
로션,,88009
수면팩,,10690
클렌징폼,,88011
마스크시트,,87981
마스크시트,,43077
에센스,,87980
스크럽/필링,,27373
크림,,56777
에센스,,87982
아이케어,,70061
트러블케어,,39462
마스크시트,,89117
크림,,87984
크림,,21960
에센스,,87986
톤업크림,,72759
"에센스,모공케어",,11502
에센스,,39378
"에센스,모공케어",,27377
아이케어,,3121
"크림,아이케어",,1744
수면팩,,10689
"에센스,화이트닝케어",,1746
모공케어,,49113
에센스,,87983
크림,,87960
"크림,링클케어,화이트닝케어",,21964
에센스,,27376
"에센스,화이트닝케어",,1745
미스트,,70189
선블록,,52801
"트러블케어,컨실러",,25299
에센스,,14624
페이스오일,,64777
"바디로션,핸드케어",,47353
네일컬러,,1558
페이스소품,,77439
페이스오일,,49717
"클렌징폼,바디워시",,86712
페이스오일,,49709
"에센스,화이트닝케어",,89471
페이스오일,,49713
클렌징폼,,78731
크림,,78735
클렌징젤,,78734
크림,,78724
에센스,,78725
크림,,78723
에센스,,102862
마스크시트,,78746
크림,,78744
크림,,78697
에센스,,78728
스킨,,78732
크림,,78726
에센스,,78730
에센스,,102580
크림,,78738
마스크시트,,78740
아이케어,,78720
선블록,,78701
크림,,78722
스킨,,78718
클렌징폼,,78719
아이케어,,78737
에센스,,78695
선블록,,78700
에센스,,78717
비비크림,,78745
클렌징폼,,78739
스킨,,78736
스크럽/필링,,78716
크림,,80967
에센스,,78698
크림,,78741
마스크시트,,78742
크림,,78743
에센스,,78733
크림,,78747
마스크시트,,87371
"마스크시트,워시오프",,78345
트러블케어,,52541
스크럽/필링,,1713
크림,,16894
"모공케어,코팩",,1028
선블록,,15810
미스트,,15789
에센스,,80283
비비크림,,75520
트러블케어,,15822
클렌징폼,,26661
선스틱,,75339
스킨,,15787
마스크시트,,33619
에센스,,15795
코팩,,1143
클렌징젤,,84845
크림,,37068
비비크림,,76001
스킨,,87620
에센스,,1123
에센스,,1715
에센스,,1343
미스트,,51533
미스트,,51529
마스크시트,,33618
크림,,47813
"수면팩,수딩젤/팩",,7396
에센스,,95942
크림,,14529
선블록,,15808
마스크시트,,15800
수면팩,,15803
선블록,,2374
크림,,1135
베이스프라이머,,92305
"크림,수면팩",,2469
스크럽/필링,,15816
"파운데이션,쿠션타입",,101473
선스틱,,105551
크림,,86594
크림,,52937
에센스,,103817
링클케어,,96689
비비크림,,15811
스킨,,15790
선블록,,74733
"에센스,트러블케어",,1722
선블록,,6514
비비크림,,15814
스펀지/퍼프,,2556
"에센스,화이트닝케어",,15817
"에센스,트러블케어",,15815
페이스소품,,1611
스크럽/필링,,1213
선블록,,92331
마스크시트,,90683
코팩,,36030
크림,,82553
비비크림,,15806
워시오프,,15804
립밤,,15823
클렌징폼,,33349
스킨,,95359
클렌징폼,,15786
에센스,,7425
크림,,82474
클렌징젤,,2004
"아이케어,마스크시트",,15802
샴푸,,38076
선블록,,15812
선블록,,33620
로션,,15794
청결제,,11047
마스크시트,,15801
포인트리무버,,15781
마스크시트,,2470
"로션,스킨",,15779
스킨,,15791
클렌징,,15780
에센스,,105396
크림,,2599
선블록,,15807
크림,,103826
코팩,,942
헤어에센스,,11104
샴푸,,11103
톤업크림,,106173
크림,,15798
선블록,,15809
마스크시트,,98715
아이케어,,105801
헤어에센스,,38079
"로션,바디로션",,15796
에센스,,79605
클렌징워터,,15782
마스크시트,,96691
"에센스,모공케어",,15792
에센스,,15821
선블록,,89708
비비크림,,37071
마스크시트,,98716
씨씨크림,,2508
비비크림,,76817
페이스소품,,80635
"에센스,링클케어,화이트닝케어",,15825
크림,,103819
스킨,,15788
스킨,,100567
마스크시트,,97665
스킨,,14510
클렌징폼,,76718
클렌징워터,,15784
파운데이션,,72391
크림,,59280
미스트,,88960
바디로션,,35730
에센스,,100710
비비크림,,1786
"에센스,트러블케어",,15819
스킨,,18232
크림,,15799
클렌징비누,,15783
클렌징워터,,2562
트러블케어,,15818
"에센스,트러블케어,컨실러",,15820
클렌징,,15785
"메이크업,선케어",,15805
베이스프라이머,,15813
크림,,15824
마스크시트,,100564
화이트닝케어,,93629
"클렌징폼,스크럽/필링",,2471
로션,,15793
마스크시트,,101208
아이케어,,1714
에센스,,103676
크림,,99373
로션,,100570
비비크림,,45893
마스크시트,,98714
"크림,바디크림",,15797
수면팩,,39171
네일영양,,80078
트리트먼트/팩,,30743
린스/컨디셔너,,50921
샴푸,,50917
샴푸,,81679
헤어에센스,,79766
"트리트먼트/팩,염색제/퍼머제",,90466
트리트먼트/팩,,34162
트리트먼트/팩,,88923
"린스/컨디셔너,트리트먼트/팩",,79080
건강/다이어트식품,,2180
클렌징밀크,,76973
로션,,84828
크림,,73279
클렌징밀크,,73281
스킨,,73280
수딩젤/팩,,76972
트러블케어,,76970
크림,,73278
크림,,76974
스킨,,76971
선블록,,73277
크림,,65937
핸드케어,,72005
바디스크럽,,45297
페이스소품,,62053
"하이라이터,쉐딩",,54673
크림,,2172
크림,,2173
스크럽/필링,,23323
클렌징밀크,,23319
포인트리무버,,23322
클렌징비누,,23321
클렌징밀크,,23320
로션,,103011
아이케어,,25062
크림,,25065
스킨,,25058
크림,,25063
마스크시트,,25069
마스크시트,,25070
클렌징폼,,25056
클렌징오일,,25054
마스크시트,,25071
크림,,25068
크림,,38505
크림,,25066
크림,,25064
스킨,,25059
에센스,,88922
아이케어,,25061
에센스,,25053
에센스,,38502
스킨,,25060
에센스,,25051
코팩,,25057
에센스,,25052
스킨,,82969
스킨,,34021
로션,,75736
건강/다이어트식품,,83111
바디크림,,83058
크림,,83026
로션,,82980
아이케어,,83028
마스카라,,103397
아이브로우-펜슬,,83048
립스틱,,92547
헤어소품,,83067
아이케어,,83029
마스카라,,83037
마스크시트,,74457
스펀지/퍼프,,83105
바디워시,,83055
스킨,,82964
스킨,,75669
크림,,18302
건강/다이어트식품,,97600
바디크림,,25407
크림,,14370
스킨,,14665
아이섀도우,,92543
에센스,,83023
스킨,,82967
워시오프,,83032
블러셔,,92545
목욕비누,,83056
헤어에센스,,83064
클렌징비누,,82959
트리트먼트/팩,,83066
핸드케어,,83060
필오프,,15600
크림,,1153
클렌징비누,,82961
클렌징오일,,82958
에센스,,82984
로션,,82979
스킨,,82966
클렌징,,75720
크림,,75670
에센스,,82985
메이크업베이스,,83034
메이크업베이스,,83035
클렌징폼,,82953
베이스프라이머,,11295
아이케어,,83031
크림,,16905
로션,,82982
스킨,,82976
로션,,50877
아이라이너-펜슬&젤,,83051
핸드케어,,83059
바디스크럽,,80557
바디크림,,83057
픽서/영양제,,83053
헤어에센스,,83065
스킨,,82970
마스크/팩,,75668
스크럽/필링,,82962
에센스,,82986
"바디크림,핸드케어,풋케어",,20362
"클렌징,헤어/바디",,75724
클렌징워터,,68285
미스트,,14359
마스크시트,,1342
뷰러,,83104
마스카라,,83039
크림,,83027
클렌징폼,,66957
베이스프라이머,,54689
스킨,,82972
클렌징오일,,1318
에센스,,81518
클렌징폼,,10986
포인트리무버,,72684
건강/다이어트식품,,83109
선블록,,37467
클렌징티슈,,1323
페이스소품,,1617
페이스소품,,1061
픽서/영양제,,55413
클렌징오일,,1190
페이스소품,,1594
립밤,,1842
포인트리무버,,1486
에센스,,80920
로션,,82977
페이스소품,,83103
마스크시트,,83033
클렌징젤,,82957
에센스,,82983
스킨,,82974
건강/다이어트식품,,11290
스킨,,1316
건강/다이어트식품,,83106
"로션,스킨,애프터쉐이브",,75732
크림,,83025
에센스,,83024
크림,,16718
건강/다이어트식품,,83108
건강/다이어트식품,,83110
파우더,,11038
건강/다이어트식품,,63197
크림,,82987
에센스,,49853
크림,,50881
아이케어,,83030
건강/다이어트식품,,83107
클렌징비누,,1317
페이스오일,,1067
건강/다이어트식품,,18706
클렌징폼,,82955
컨실러,,83036
립밤,,83054
아이브로우-펜슬,,83050
에센스,,50885
트리트먼트/팩,,69473
바디크림,,80221
청결제,,90424
선블록,,73708
비비크림,,67049
여성향수,,101106
여성향수,,20644
여성향수,,105802
립스틱,,86939
에센스,,82451
립스틱,,92376
"파운데이션,쿠션타입",,81076
크림,,86942
크림,,98289
크림,,95314
"포인트프라이머,쿠션타입",,97025
마스크시트,,92377
마스크시트,,81788
에센스,,102521
크림,,95252
스킨,,78010
스킨,,95312
에센스,,95057
마스크시트,,76325
에센스,,27823
클렌징폼,,99226
톤업크림,,96246
마스크시트,,81789
선블록,,59343
크림,,51333
크림,,82691
샴푸,,73446
픽서/영양제,,72167
클렌징폼,,73692
페이스오일,,49985
립밤,,54897
바디로션,,45505
핸드케어,,84362
크림,,45401
헤어에센스,,66829
립밤,,87027
립밤,,27085
핸드케어,,82410
핸드케어,,82409
립밤,,72315
립밤,,27084
핸드케어,,82408
립밤,,27087
에센스,,60654
클렌징폼,,14617
크림,,1302
헤어기기,,75004
헤어기기,,61585
헤어기기,,58625
헤어기기,,58621
샴푸,,99211
수딩젤/팩,,72920
건강/다이어트식품,,97519
선블록,,97537
스킨,,97515
크림,,97522
로션,,97514
에센스,,97523
수면팩,,97521
마스크시트,,97520
크림,,97530
에센스,,97518
미스트,,97517
마스크시트,,97524
에센스,,97527
크림,,97526
"크림,아이케어",,97529
에센스,,97536
크림,,97535
"크림,링클케어",,97533
마스크시트,,97534
수면팩,,87478
에센스,,89055
필오프,,72448
클렌징폼,,72442
필오프,,72446
페이스오일,,83412
