,category,num_of_reviews,product_id
39757,크림,0.0,95730
39758,마스크시트,1.0,95720
39759,선블록,1.0,95727
39760,스킨,0.0,95728
39761,크림,1.0,95735
39762,선스틱,0.0,91953
39763,크림,2.0,54769
39764,바디크림,1.0,96858
39765,네일컬러,1.0,43011
39766,남성향수,1.0,91963
39767,톤업크림,0.0,102962
39768,에센스,0.0,25528
39769,클렌징폼,6.0,25525
39770,에센스,0.0,25527
39771,방향제,4.0,101035
39772,방향제,2.0,94913
39773,"아이섀도우,블러셔,쉐딩",0.0,99484
39774,하이라이터,0.0,99480
39775,블러셔,0.0,96145
39776,"블러셔,쉐딩",0.0,99482
39777,아이섀도우,0.0,99360
39778,메이크업베이스,0.0,96225
39779,마스카라,0.0,96147
39780,스킨,0.0,96226
39781,쉐딩,0.0,96154
39782,마스카라,0.0,96153
39783,블러셔,0.0,97422
39784,아이섀도우,0.0,99478
39785,블러셔,0.0,99476
39786,블러셔,0.0,90765
39787,립글로스/락커,0.0,96155
39788,아이섀도우,1.0,96156
39789,쿠션타입,1.0,99359
39790,블러셔,1.0,94753
39791,"픽서/영양제,아이라이너-리퀴드",2.0,96143
39792,쉐딩,7.0,97423
39793,블러셔,0.0,97425
39794,클렌징크림,1.0,96006
39795,클렌징밀크,13.0,81005
39796,클렌징밀크,22.0,80493
39797,바디워시,0.0,8696
39798,"클렌징폼,바디워시",49.0,2487
39799,크림,239.0,3010
39800,로션,540.0,2485
39801,샴푸,8.0,8697
39802,샴푸,0.0,80494
39803,크림,35.0,96004
39804,크림,1.0,96005
39805,로션,11.0,99541
39806,크림,50.0,81004
39807,에센스,57.0,96003
39808,크림,41.0,80443
39809,로션,201.0,11110
39810,크림,901.0,2486
39811,크림,154.0,10684
39812,로션,1004.0,45193
39813,크림,1261.0,50745
39814,크림,781.0,59964
39815,크림,7.0,96010
39816,크림,0.0,82739
39817,스킨,1.0,82740
39818,클렌징폼,1.0,82738
39819,바디로션,0.0,82741
39820,키즈제품,0.0,80688
39821,클렌징비누,0.0,103871
39822,브러쉬,469.0,57941
39823,브러쉬,218.0,50505
39824,브러쉬,64.0,57921
39825,브러쉬,172.0,50925
39826,스펀지/퍼프,85.0,85313
39827,브러쉬,98.0,73406
39828,브러쉬,51.0,73405
39829,브러쉬,35.0,57925
39830,브러쉬,0.0,84471
39831,브러쉬,0.0,85210
39832,브러쉬,0.0,98699
39833,브러쉬,0.0,97749
39834,브러쉬,0.0,100632
39835,브러쉬,0.0,100925
39836,브러쉬,0.0,85624
39837,브러쉬,0.0,82165
39838,브러쉬,0.0,70329
39839,브러쉬,0.0,81263
39840,브러쉬,0.0,80639
39841,브러쉬,6.0,1588
39842,브러쉬,4.0,87029
39843,브러쉬,1.0,80800
39844,브러쉬,1.0,87001
39845,브러쉬,2.0,86999
39846,브러쉬,1.0,98785
39847,브러쉬,2.0,2666
39848,브러쉬,1.0,81515
39849,브러쉬,3.0,81190
39850,브러쉬,5.0,57937
39851,브러쉬,0.0,85502
39852,브러쉬,2.0,100073
39853,브러쉬,0.0,85504
39854,브러쉬,0.0,97751
39855,브러쉬,42.0,57917
39856,브러쉬,0.0,84472
39857,브러쉬,1.0,82838
39858,브러쉬,0.0,83074
39859,브러쉬,0.0,84473
39860,브러쉬,0.0,84432
39861,브러쉬,0.0,103016
39862,브러쉬,0.0,84428
39863,브러쉬,0.0,98180
39864,브러쉬,0.0,84427
39865,브러쉬,0.0,85309
39866,브러쉬,0.0,81623
39867,브러쉬,0.0,81621
39868,브러쉬,0.0,85610
39869,브러쉬,0.0,84862
39870,브러쉬,0.0,85506
39871,브러쉬,0.0,80819
39872,브러쉬,0.0,81192
39873,브러쉬,0.0,84847
39874,브러쉬,0.0,81262
39875,브러쉬,0.0,100080
39876,브러쉬,0.0,85503
39877,아이소품,1.0,75698
39878,브러쉬,1.0,80799
39879,브러쉬,1.0,87003
39880,브러쉬,8.0,80638
39881,브러쉬,7.0,94884
39882,브러쉬,5.0,82839
