,review,score,tag
23,예전에 모공팩과 클렌징 폼을 사면서 받은 견폼품을 사용해보구 구매하게 되었는요.. 썬크림과 비비를 함꼐 구매했습니다 왜 하나씩 파는건 없을까 했는데 솔직히 용량이 조금 작긴하더라구요 그래도 원 필러스 원이라 오래 사용할수 있을꺼 같아요 일단 선크림과 비를 함께 발라서 그런지 자외선의 걱정은 하지두 않구여 두가지 제품 모두 미백 기능성과 주름 기능성을 한번에 가지구 있어서 괜히 한번더 믿게 되는데 구매하게 된 계기는 샘플을 섰는데 얼굴이 한층더 화사하더라구요 제가 피부가 화사한 편이라 화장품을 아무리 밝은걸 써도 얼굴이 누렇게 떠 보여서 보기가 싫을때가 많거등요 근데 오히려 한층더 화사해 보이고 피부색과 맞아서 더 좋은거 같아요,4,
24,대학 4년동안 화장을 안하다가 졸업하며 대학원 진학하느라 화장에 관심을 갖게 되었는데요 비비크림 친구들이 가지고 있는 것도 빌려써보고 했는데 엔뜨라다 것을 배송와서 써보니 다른 친구들이 가지고 있던 비비크림보다 훨씬 가볍구 좋더라구요 원체 건성 피부라 영양크림까지 챙겨바르지만 원래 피부 번들거림이나 뭔가 두껍게 피부에 뭐 발리는 걸 싫어했는데 비비크림 효과는 가볍고 간편하고 아주 소량을 썼는데도 피부톤 확잡아주고 좋더라구요 그리고 바르는 양이 적다보니 사용후 그냥 클린징 폼으로도 깨끗이 지워져서 피부에 무리도 없고 좋았어요//,5,
25,"BB크림을 구매하기 전에 사용후기를 둘러보고 기대를 많이 했습니다. 사용하시는 분들 중에 남성분들도 있다고 하셔서 '펄비비인데 남자들도 사용을 하나?' 생각했는데 펄은 생각보다 많이 든게 아니라 거울로 자세히 비춰봐야 눈에 띄는 정도예요. 그래서 부담스럽지 않구요 커버력은한번정도 더덧바르면 아주 옅은 기미를 커버하는 정도입니다. 다른 제품과는 달리 자연스러운 메이크업을 연출하는 제품인것 같아요. 그저 감추기위해서 바르는 크림이 아니라 정말 물광같은 자연스러운 피부톤을 연출하구요 샘플이며, 가격이며, 기능이며 그동안 사용했던 제품들중에 가장 나은것 같습니다.",4,
26,"전부터 BB크림이 다 떨어져가서 살라고 했었는데 드디어 구매했네요!! 원플러스 원 상품이라 엄마랑 같이 쓸려구 주문했는데 샘플로도 BB크림이 들어있어서, 오늘 외출할때 발라봤는데요 펄감은 솔직히 있는건지 육안으로 확인이 잘 안되요 -0-;; 얼굴에 여드름성 피부라 자국이 좀 있는편인데 다른BB크림에 비해서 커버력도 좀 부족한것같구요~!! 화사해보이는건 있긴한데 ㅠ_ㅠ 제가 생각했던거랑은 조금 떨어져서 살짝 실망했어요!! 배송도 하루만에 오고 다 좋았는데 본품도 샘플처럼 그런건지 좀 의심스럽네용!! 아직 쓰고있는 BB크림이 있어서 본품은 나중에 뜯어봐야할것같구요 암턴, 샘플 후기는 그럭저럭 입니당~ 썩 좋다 그런건 아닌것같아용 ㅋㅋ 암턴, 못바를정도는아니구요, 잘쓸께요~~ 본품은 더 좋길 바래요 ㅋㅋ",5,
27,"샘플과 동시에 여러 물건들이 왔는데 첨보는 브랜드라 소직히 저렴한 맛에 구입해야하나.. 그런생각으로 주문한건 사실인데 너무 알찬 구성이 배송온거예요,,, BB크림 두개,,아이크림 하나..마스트시트 하나...샘플 등등을 보내주셨는데 완전 다 좋앙요.,, 아이크림은 이때껏 사용했던 아이크림와 다른 텍스처의 느낌인 흔들거리는 젤과 같이 생겼는데 조끔 떠서 바르면 스며드는것이나 부드러운 정도나 너무 좋은거예요.. 비비크림도 약간의 펄감과 동시에 부드럽고 향긋한 향기도 나고... 제가 점은 편이라 일반 BB는 여기에 다른 화사한 펄감이 있는 미스트나 프라이머 등등을 섞어서 바르는데 이번껀 굳이 그러지 않아도 될거 같이 밝게 화사하게 표현되더라구요,,, 11번가 믿고 주문했습니다",5,
28,"제가 피부가 굉장히 예민하고 복합성이라 잘 뜨고 화장도 잘 먹지않는 타입인데 이 비비는 정말 놀랐습니다, ㅋㅋ일단 비비자체에 은은하게 펄이 들어있어서 따로 펄을 바르지않아도 색동감 넘치는 피부를 연출할수있어요~ 그리고 바르지않은것처럼 가볍고 소량으로도 피부를 커버할수있다는점이 매우 맘에 듭니다~가격이 조금 부담이긴하지만한가격에 두개가 오니 그것도 그리 비싸지 않다는 생각입니다~ 여기서 같이보내주는 팩도 정말 좋습니다~ 사용하고 나면 모공이 확연히 줄어드는 걸 보면 정말 기분 짱!! 다음에는 마스크팩만 주문할까 생각중입니다^^",5,
29,12일 배송된다고했는데 다음날 바로 물건 받았구요. 물건 받자마자 손등에 테스트해봤는데 펄감 살짝 있고 자연스런 살색이라 넘 마음에 듭니다. 그리고 덤으로 받은 마스크 시트 저녁에 세안하고 붙였는데 그동안 사용하던 시트지와는 달리 실크 감촉에다 얼굴에 쫙 달라붙어 지금 붙인채 후기 남기고 있는데도 에센스가 흐르거나 시트지가 떨어질 생각을 않네요. 생각지도 못했는데 일석이조입니다. 아쭈 맘에 듭니다.  ,5,
30,벌써 세번째 구매네요_직업상 여러 bb크림을 써봤지만 가격과 품질에 감동받은 제품이예요~ 제 손님들도 구매원하셔서 열심히 사다 드리고 있어요~ 펄은 미세해서 부담없구요 끈적임 없이 파우더리하게 마무리되고 발리는 질감 좋구요~ 무엇보다 이것하나만 바르고 다니면 피부좋아졌다는 칭찬을 많이 받으신다네요~~^^여러분도 써 보아요~~전 메컵아티스트랍니당,5,
31,와우~^^ 배송 무지 빠르네요~샘플주는 것도 많구요~이지함 쓰다가 바꿀때가 되어서 상품평보고 믿져야 본전으로 시켜봤는데 이 가격이면 좋아요 제가 얼굴이 까무 잡잡한 피부이면서 지성피부인데 오늘 비비만 바르고외출을 했는데도 아침에 발랐는데도 저녁에 번들거리지도 않고 거의 안 바른듯 해요 잡티제거도 되는 것 같구 펄감이 있어 촉촉해 보이네요 이 가격이면 괜찮습니다 하나는 선물로 줘야겠어요 ,5,
32,"좋아요~!!^^ 나갈일이 없어서 손에만 발라？f는데 잘 먹는데요!?처음엔 안발리나 싶엇는데 다 바르고 나서 안바른 손이랑 비교해 보니깨끗해지고 환해진게 딱 좋아요, 지금까지 무작정 환한색만 사용해서 너무 환해질까봐 걱정했는데 그런걱정은 없겠는데요? ㅋㅋㅋ하지만 얼굴에 발라봐야 확실히 알겠지만 나갈일이 없어서..아직..ㅋㅋ무튼 만족입니다! 사은품도 좋구요~^^ 감사합니다~ㅋㅋ",5,
